salet,15.6419
reast,15.7483
carte,15.8562
caret,15.9655
peart,15.9655
carle,16.0764
earst,16.3028
reist,16.4184
carse,16.6547
prase,16.7754
trine,16.7754
feart,16.8978
laten,16.8978
thrae,16.8978
torse,16.8978
prate,17.0221
resat,17.0221
saine,17.0221
shite,17.0221
chare,17.1481
crape,17.1481
dearn,17.1481
derat,17.1481
antre,17.2761
cruet,17.2761
ratel,17.2761
spale,17.2761
taler,17.2761
taser,17.2761
thale,17.2761
trape,17.2761
caner,17.406
caron,17.406
curet,17.406
denar,17.406
paire,17.406
palet,17.406
prest,17.406
slane,17.406
spate,17.406
aline,17.5379
blate,17.5379
heast,17.5379
lacer,17.5379
perst,17.5379
slart,17.5379
tared,17.5379
throe,17.5379
apert,17.6718
corse,17.6718
drice,17.6718
halse,17.6718
parle,17.6718
petar,17.6718
riled,17.6718
rotan,17.6718
sault,17.6718
thane,17.6718
tiler,17.6718
diane,17.8077
earnt,17.8077
pater,17.8077
plast,17.8077
prise,17.8077
rance,17.8077
redan,17.8077
surat,17.8077
tepal,17.8077
tired,17.8077
anile,17.9457
cadre,17.9457
crame,17.9457
daine,17.9457
dater,17.9457
dinar,17.9457
doner,17.9457
frate,17.9457
horst,17.9457
liane,17.9457
paren,17.9457
raine,17.9457
setal,17.9457
sient,17.9457
spier,17.9457
stane,17.9457
taber,17.9457
toran,17.9457
trone,17.9457
